raw_stage,target,k,R2,MSE,WAIC,alpha_fixed,feature_added
12_to_14,x_half,18,-5.190465318433912,2.91376688454822,1739.5931648288044,163.86804555073678,mother_x
12_to_14,x_half,19,-5.190465318433912,2.91376688454822,1741.5931648288044,163.86804555073678,mother_2d_couple_xz_xj_minus_xi_pow2
12_to_14,x_half,20,-5.190465318433912,2.91376688454822,1743.5931648288044,163.86804555073678,mother_2d_couple_xy_xi_xj2
12_to_14,y_mean,1,-1.6341354440390918,7.43575955861942,2114.0615212236235,160.7097072414317,mother_y
12_to_14,y_mean,2,-1.6341354440390918,7.43575955861942,2116.0615212236235,160.7097072414317,mother_z_adj_xj_pow2
12_to_14,y_mean,3,-1.6341354440390918,7.43575955861942,2118.0615212236235,160.7097072414317,mother_2d_couple_xy_xi_xj
12_to_14,y_mean,4,-0.5912873663275404,4.491959694577016,1900.312432912447,160.7097072414317,mother_y_adj_xi_xj2
12_to_14,y_mean,5,-0.5912873663275404,4.491959694577016,1902.312432912447,160.7097072414317,mother_y_adj_xi_xj_pow2
12_to_14,y_mean,6,-0.6788423600340991,4.739113986825606,1927.6650862466017,160.7097072414317,mother_x_adj_xj_pow3
12_to_14,y_mean,7,-0.6445632331193298,4.642349279378831,1920.6705600208397,160.7097072414317,mother_2d_couple_yz_xi_xj_pow3
12_to_14,y_mean,8,0.2278114194738753,2.179769696997662,1593.053984206067,160.7097072414317,mother_2d_couple_xz_xi_xj_pow3
12_to_14,y_mean,9,0.4439808716671523,1.5695565532259144,1451.8602053245122,160.7097072414317,mother_3d_couple_prod_sq_xy2z
12_to_14,y_mean,10,0.443980872409537,1.5695565511302765,1453.8602047423742,160.7097072414317,mother_3d_couple_prod_sq_xyz2
12_to_14,y_mean,11,0.443980872409537,1.5695565511302765,1455.8602047423742,160.7097072414317,mother_x
12_to_14,y_mean,12,0.6391007808636175,1.0187630345525298,1269.4192834972039,160.7097072414317,mother_2d_couple_xy_xi_xj_pow2
12_to_14,y_mean,13,0.6391007808636175,1.0187630345525298,1271.4192834972039,160.7097072414317,mother_2d_couple_xy_xi2_xj
12_to_14,y_mean,14,0.6391007808636175,1.0187630345525298,1273.4192834972039,160.7097072414317,mother_z_z_z
12_to_14,y_mean,15,0.6391007808636175,1.0187630345525298,1275.4192834972039,160.7097072414317,mother_2d_couple_xy_xj_minus_xi_pow2
12_to_14,y_mean,16,0.6391007808636175,1.0187630345525298,1277.4192834972039,160.7097072414317,mother_x_x_x
12_to_14,y_mean,17,0.6391007808636175,1.0187630345525298,1279.4192834972039,160.7097072414317,mother_x_x
12_to_14,y_mean,18,0.6391007808636175,1.0187630345525298,1281.4192834972039,160.7097072414317,mother_2d_couple_xz_xj_minus_xi_pow2
12_to_14,y_mean,19,0.6391007808636175,1.0187630345525298,1283.4192834972039,160.7097072414317,mother_2d_couple_xz_xi_xj
12_to_14,y_mean,20,0.6391001314237932,1.0187648678213514,1285.420068080527,160.7097072414317,mother_2d_couple_xy_xi_xj_pow3
12_to_14,y_half,1,-2.5952635275357085,0.750285762794311,1114.0511091633623,23.032457561695423,mother_y_adj_xj
12_to_14,y_half,2,-2.5952635275357085,0.750285762794311,1116.0511091633623,23.032457561695423,mother_x_adj_xj
12_to_14,y_half,3,-2.5952635275357085,0.750285762794311,1118.0511091633623,23.032457561695423,mother_y_adj_xi2_xj
12_to_14,y_half,4,-2.5952635275357085,0.750285762794311,1120.0511091633623,23.032457561695423,mother_y_adj_xj_pow2
12_to_14,y_half,5,-2.5952635275357085,0.750285762794311,1122.0511091633623,23.032457561695423,mother_x_adj_xi_xj
12_to_14,y_half,6,-2.5952635275357085,0.750285762794311,1124.0511091633623,23.032457561695423,mother_y_adj_xj_pow3
12_to_14,y_half,7,-0.11965015564401127,0.23365674439612896,617.4130657903239,23.032457561695423,mother_x_adj_xj_pow2
12_to_14,y_half,8,-0.11965015564401127,0.23365674439612896,619.4130657903239,23.032457561695423,mother_2d_couple_xy_xi_xj2
12_to_14,y_half,9,-0.14282277018096812,0.2384925742708075,630.3445434921738,23.032457561695423,mother_2d_couple_xz_xj_minus_xi_pow2
12_to_14,y_half,10,-0.14282277018096812,0.2384925742708075,632.3445434921738,23.032457561695423,mother_z_adj_xj_minus_xi_pow3
