feature_added,R2,MSE,WAIC,R2_gain,WAIC_gain,MSE_drop,prev_R2,prev_WAIC,prev_MSE,composite_score,k,raw_stage,target,target_index
mother_2d_couple_yz_xi_xj_pow2,0.9870363837595304,0.2129822919803251,1150.0404693179537,0.0005834416366421,36.387803125455775,0.0095854995013567,0.9864529421228884,1186.4282724434092,0.2225677914816818,0.9999999991430024,12,8_to_12,y_mean,3
mother_3d_couple_prod_xyz,0.9871963753497568,0.2103537526166267,1141.211645216145,0.0001599915902262,8.82882410180855,0.0026285393636983,0.9870363837595304,1150.0404693179537,0.2129822919803251,0.9999999968747793,13,8_to_12,y_mean,3
mother_x_adj_xi_xj,0.9872884955736452,0.208840287850503,1136.9150527886627,9.212022388838116e-05,4.29659242748221,0.0015134647661237,0.9871963753497568,1141.211645216145,0.2103537526166267,0.9999999945721938,14,8_to_12,y_mean,3
mother_2d_couple_yz_xi2_xj,0.9873804876831748,0.2073289279052306,1132.581515293965,9.199210952970382e-05,4.333537494697794,0.0015113599452723,0.9872884955736452,1136.9150527886627,0.208840287850503,0.9999999945646358,15,8_to_12,y_mean,3
mother_x_adj_xj_pow2,0.9874546113047302,0.2061111335401445,1129.4445203266907,7.412362155545527e-05,3.136994967274177,0.001217794365086,0.9873804876831748,1132.581515293965,0.2073289279052306,0.9999999932543526,16,8_to_12,y_mean,3
mother_y_adj_xj_pow3,0.9875120775437096,0.2051670072205859,1127.4410029246228,5.746623897928682e-05,2.003517402067928,0.0009441263195586,0.9874546113047302,1129.4445203266907,0.2061111335401445,0.9999999912989898,17,8_to_12,y_mean,3
mother_z_adj_xj_minus_xi,0.9875326890431064,0.2048283760623268,1128.0005650602584,2.0611499397027444e-05,-0.5595621356355878,0.0003386311582591,0.9875120775437096,1127.4410029246228,0.2051670072205859,0.4999999757416981,18,8_to_12,y_mean,3
mother_2d_couple_xy_xi_xj,0.9875434357789152,0.2046518154189558,1129.2485829435957,1.0746735808697672e-05,-1.24801788333707,0.0001765606433709,0.9875326890431064,1128.0005650602584,0.2048283760623268,0.4999999534742491,19,8_to_12,y_mean,3
mother_y_adj_xi_xj2,0.9875461729944977,0.2046068450621086,1131.056947896545,2.737215582304664e-06,-1.808364952949205,4.497035684719597e-05,0.9875434357789152,1129.2485829435957,0.2046518154189558,0.4999998173326864,20,8_to_12,y_mean,3
mother_2d_couple_yz_xj_minus_xi_pow2,0.8539338576459754,0.406771944130527,1692.2625482974645,1.627128675512576,2174.9293666225008,4.531305366335935,-0.7731948178666006,3867.191914919965,4.938077310466461,0.9999999999996924,1,8_to_12,y_half,4
mother_x_adj_xj,0.8920487029742318,0.3006279090752877,1430.587731558368,0.0381148453282563,261.6748167390965,0.1061440350552393,0.8539338576459754,1692.2625482974645,0.406771944130527,0.9999999999868798,2,8_to_12,y_half,4
mother_2d_couple_yz_xi_xj,0.8969088401343592,0.2870931678306367,1392.417719226495,0.0048601371601274,38.17001233187307,0.0135347412446509,0.8920487029742318,1430.587731558368,0.3006279090752877,0.9999999998971092,3,8_to_12,y_half,4
mother_z,0.9005706445254549,0.2768956007066863,1362.8807516004035,0.0036618043910956,29.536967626091386,0.0101975671239504,0.8969088401343592,1392.417719226495,0.2870931678306367,0.9999999998634383,4,8_to_12,y_half,4
mother_x_adj_xj_pow3,0.9209253464462528,0.220210858170989,1165.1447839076577,0.020354701920798,197.73596769274585,0.0566847425356972,0.9005706445254549,1362.8807516004035,0.2768956007066863,0.9999999999754332,5,8_to_12,y_half,4
mother_3d_couple_prod_xyz,0.922679557361916,0.2153256481347732,1147.5823281757994,0.0017542109156629,17.562455731858336,0.0048852100362158,0.9209253464462528,1165.1447839076577,0.220210858170989,0.9999999997149432,6,8_to_12,y_half,4
mother_z_adj_xi2_xj,0.9239054055761288,0.2119118476929446,1135.646766010423,0.001225848214213,11.93556216537604,0.0034138004418285,0.922679557361916,1147.5823281757994,0.2153256481347732,0.9999999995920772,7,8_to_12,y_half,4
mother_z_adj_xi_xj_pow2,0.925467983593874,0.2075603060701552,1119.554120819531,0.0015625780177451,16.092645190892426,0.0043515416227893,0.9239054055761288,1135.646766010423,0.2119118476929446,0.9999999996799848,8,8_to_12,y_half,4
mother_2d_couple_xz_xi2_xj,0.9268292861403806,0.2037692859578403,1105.480085746694,0.0013613025465065,14.074035072836978,0.0037910201123148,0.925467983593874,1119.554120819531,0.2075603060701552,0.9999999996326692,9,8_to_12,y_half,4
mother_y_y_y,0.927329297534177,0.2023768304341708,1101.500828897389,0.0005000113937964,3.9792568493048743,0.0013924555236695,0.9268292861403806,1105.480085746694,0.2037692859578403,0.9999999989998972,10,8_to_12,y_half,4
mother_y_y,0.9279150071927345,0.2007457183046403,1096.4442276556265,0.0005857096585573,5.056601241762792,0.0016311121295304,0.927329297534177,1101.500828897389,0.2023768304341708,0.9999999991462358,11,8_to_12,y_half,4
mother_y_adj_xj,0.9282261160527592,0.1998793275463919,1094.6726515807409,0.0003111088600248,1.7715760748853882,0.0008663907582483,0.9279150071927345,1096.4442276556265,0.2007457183046403,0.9999999983925631,12,8_to_12,y_half,4
mother_2d_couple_xz_xi_xj2,0.928571445412398,0.1989176379123547,1092.4670278721624,0.0003453293596389,2.205623708578514,0.0009616896340372,0.9282261160527592,1094.6726515807409,0.1998793275463919,0.9999999985518802,13,8_to_12,y_half,4
mother_2d_couple_yz_xi_xj_pow3,0.9288277259214204,0.1982039357551149,1091.332728491725,0.0002562805090222,1.134299380437369,0.0007137021572397,0.928571445412398,1092.4670278721624,0.1989176379123547,0.999999998048572,14,8_to_12,y_half,4
mother_x_adj_xj_pow2,0.9294336594877928,0.1965165031246984,1085.8770709034693,0.0006059335663723,5.45565758825569,0.0016874326304164,0.9288277259214204,1091.332728491725,0.1982039357551149,0.9999999991747354,15,8_to_12,y_half,4
mother_y_adj_xi2_xj,0.9294898223116066,0.1963600982203006,1087.1827812289353,5.6162823813821205e-05,-1.3057103254659523,0.0001564049043978,0.9294336594877928,1085.8770709034693,0.1965165031246984,0.4999999910973138,16,8_to_12,y_half,4
mother_2d_couple_xy_xi_xj_pow2,0.9295457461746977,0.1962043587850958,1088.490895898005,5.5923863090945325e-05,-1.3081146690697096,0.0001557394352048,0.9294898223116066,1087.1827812289353,0.1963600982203006,0.499999991059273,17,8_to_12,y_half,4
mother_z_adj_xj_minus_xi,0.9295760748981984,0.1961198979126266,1090.1154417644734,3.0328723500727683e-05,-1.624545866468452,8.446087246913314e-05,0.9295457461746977,1088.490895898005,0.1962043587850958,0.4999999835139787,18,8_to_12,y_half,4
mother_z_adj_xi_xj2,0.9295907950234232,0.1960789046074084,1091.9331558316724,1.472012522496513e-05,-1.817714067198949,4.09933052182565e-05,0.9295760748981984,1090.1154417644734,0.1961198979126266,0.4999999660329,19,8_to_12,y_half,4
mother_y_adj_xi_xj,0.929599660518682,0.1960542155543257,1093.8233520267415,8.865495258914002e-06,-1.8901961950691657,2.46890530826438e-05,0.9295907950234232,1091.9331558316724,0.1960789046074084,0.4999999436015779,20,8_to_12,y_half,4
mother_z_adj_xj_minus_xi,0.902546323106044,2.484109207832975,3270.0739211856107,1.21389677280994,2264.7078488840243,30.94241537933112,-0.3113504497038961,5534.781770069635,33.426524587164096,0.999999999999588,1,8_to_12,z_mean,5
mother_2d_couple_yz_xj_minus_xi_pow2,0.9483718593586812,1.3160092429344752,2718.0833646765823,0.045825536252637,551.9905565090285,1.1680999648984998,0.902546323106044,3270.0739211856107,2.484109207832975,0.999999999989088,2,8_to_12,z_mean,5
mother_x_adj_xj_minus_xi,0.9661523248469016,0.8627824438378452,2351.927956550313,0.0177804654882205,366.1554081262693,0.45322679909663,0.9483718593586812,2718.0833646765823,1.3160092429344752,0.9999999999718778,3,8_to_12,z_mean,5
mother_x_adj_xj_pow3,0.9720197388443929,0.7132211589086375,2187.9244329534213,0.0058674139974911,164.00352359689168,0.1495612849292077,0.9661523248469016,2351.927956550313,0.8627824438378452,0.9999999999147804,4,8_to_12,z_mean,5
mother_z_z_z,0.9747366273705834,0.6439672526459741,2100.8551455343627,0.0027168885261905,87.06928741905858,0.0692539062626633,0.9720197388443929,2187.9244329534213,0.7132211589086375,0.9999999998159602,5,8_to_12,z_mean,5
mother_2d_couple_xz_xi2_xj,0.9778541445800536,0.5645012596486063,1988.0081589413896,0.0031175172094702,112.84698659297284,0.0794659929973677,0.9747366273705834,2100.8551455343627,0.6439672526459741,0.9999999998396116,6,8_to_12,z_mean,5
mother_z,0.979730801403315,0.5166649886818512,1912.7943539523865,0.0018766568232613,75.21380498900362,0.0478362709667551,0.9778541445800536,1988.0081589413896,0.5645012596486063,0.9999999997335608,7,8_to_12,z_mean,5
mother_x_adj_xj_pow2,0.9814152954399394,0.4737269766920944,1839.1365677186789,0.0016844940366244,73.65778623370738,0.0429380119897567,0.979730801403315,1912.7943539523865,0.5166649886818512,0.9999999997031682,8,8_to_12,z_mean,5
mother_x_adj_xi2_xj,0.9818197554411472,0.4634172290743277,1821.949632397277,0.0004044600012076,17.186935321401734,0.0103097476177666,0.9814152954399394,1839.1365677186789,0.4737269766920944,0.9999999987637548,9,8_to_12,z_mean,5
mother_y_adj_xj_pow2,0.9819529627987988,0.4600217530467415,1817.5369327011856,0.0001332073576516,4.412699696091522,0.0033954760275862,0.9818197554411472,1821.949632397277,0.4634172290743277,0.9999999962463404,10,8_to_12,z_mean,5
mother_2d_couple_yz_xi2_xj,0.9820933049325178,0.4564444104802043,1812.729352267668,0.000140342133719,4.807580433517614,0.0035773425665372,0.9819529627987988,1817.5369327011856,0.4600217530467415,0.999999996437174,11,8_to_12,z_mean,5
